Year,Birth,death_year,death_year_new,death_year_add,death_rate,deaths
2020,3613647.0,0,1,1,0.00037690670013427736,1362.007766220131
2019,3747540.0,1,1,0,0.00037690670013427736,1412.4729350212099
2018,3791712.0,2,2,0,0.00023219562530517578,880.4189388171387
2017,3855500.0,3,3,0,0.00017871410369873047,689.0322268104553
2016,3945875.0,4,4,0,0.00014412253379821779,568.6895030510426
2015,3978497.0,5,5,0,0.00013609033584594728,541.4349928920938
2014,3988076.0,6,6,0,0.00012356203079223632,492.77476951377866
2013,3932181.0,7,7,0,0.00011359611511230469,446.68048551841736
2012,3952841.0,8,8,0,0.00010434925079345703,412.4759968556595
2011,3953590.0,9,9,0,9.669539451599121e-05,382.2939448044777
2010,3999386.0,10,10,0,9.429548263549805e-05,377.12403311565396
2009,4131019.0,11,11,0,0.00010314894676208496,426.11025890416147
2008,4132851.5,12,12,0,0.00013020283699035644,538.1089901598501
2007,4134684.0,13,13,0,0.00017950244903564453,742.1859039884948
2006,4136516.5,14,14,0,0.00024652015686035155,1019.7346964354324
2005,4138349.0,15,16,1,0.00039761432647705076,1645.4668503619766
2004,4112052.0,16,17,1,0.00047916675567626955,1970.3586160121156
2003,4089950.0,17,18,1,0.0005639835357666015,2306.664462108612
2002,4021726.0,18,19,1,0.0006502207946777344,2615.009875696106
2001,4025933.0,19,20,1,0.0007405033111572266,2981.2167169971467
2000,4058814.0,20,21,1,0.0008295818328857422,3367.1183574623105
1999,3959417.0,21,22,1,0.0009059593963623046,3587.0710352666474
1998,3941553.0,22,23,1,0.00096325927734375,3796.73749439209
1997,3882000.0,23,25,2,0.001041941680908203,4044.8176052856443
1996,3899000.0,24,26,2,0.001079699935913086,4209.750050125122
1995,3892000.0,25,27,2,0.0011203314208984374,4360.329890136719
1994,3979000.0,26,28,2,0.0011683666229248047,4648.930792617798
1993,4039000.0,27,30,3,0.0012825051879882812,5180.038454284668
1992,4084000.0,28,30,2,0.0012825051879882812,5237.75118774414
1991,4111000.0,29,32,3,0.0014026873779296874,5766.447810668945
1990,4179000.0,30,33,3,0.0014636341857910157,6116.527262420655
1989,4021000.0,31,34,3,0.0015241035461425782,6128.420359039307
1988,3913000.0,32,35,3,0.0015910446166992188,6225.757585144043
1987,3829000.0,33,36,3,0.0016619718933105468,6363.690379486084
1986,3731000.0,34,37,3,0.001727757568359375,6446.263487548828
1985,3760561.0,35,38,3,0.001787183074951172,6720.810971521454
1984,3669141.0,36,39,3,0.0018472628784179687,6777.867964981384
1983,3638933.0,37,41,4,0.002007906036376953,7306.635536671294
1982,3680537.0,38,42,4,0.0021171873474121095,7792.386368082123
1981,3646397.5,39,43,4,0.0022457794189453123,8189.004458793639
1980,3612258.0,40,44,4,0.002390795135498047,8636.168854563904
1979,3494398.0,41,45,4,0.002554122009277344,8925.118840974732
1978,3333279.0,42,47,5,0.0029328976440429685,9776.166126037902
1977,3326632.0,43,48,5,0.0031515670776367188,10484.103890612792
1976,3167788.0,44,49,5,0.0033990786743164064,10767.560635555421
1975,3144198.0,45,51,6,0.003962117309570312,12457.681320516356
1974,3159958.0,46,52,6,0.00431885498046875,13647.400346372071
1973,3136965.0,47,54,7,0.005176470947265625,16238.408185089113
1972,3258411.0,48,55,7,0.0056131329345703125,18289.894098466186
1971,3555970.0,49,56,7,0.006040679321289062,21480.474446124266
1970,3731386.0,50,57,7,0.00648659423828125,24203.98692840332
1969,3600206.0,51,59,8,0.007484305419921875,26945.041278635254
1968,3501564.0,52,60,8,0.00803720703125,28142.794801171876
1967,3520959.0,53,61,8,0.008592920532226562,30255.320884227902
1966,3606274.0,54,62,8,0.009124291381835938,32904.694778739016
1965,3760358.0,55,63,8,0.009615889282226562,36159.186189534914
1964,4027490.0,56,64,8,0.010091869506835938,40644.90352008667
1963,4098020.0,57,65,8,0.010585130615234375,43378.076963842774
1962,4167362.0,58,66,8,0.01117866455078125,46585.54185967285
1961,4268326.0,59,67,8,0.011819495849609375,50449.461441779786
1960,4257850.0,60,68,8,0.012536484375,53378.46999609375
1959,4295000.0,61,69,8,0.013318096923828125,57201.2262878418
1958,4255000.0,62,71,9,0.0150596044921875,64078.61711425781
1957,4308000.0,63,72,9,0.015895521240234373,68477.90550292969
1956,4218000.0,64,72,8,0.015895521240234373,67047.30859130858
1955,4104000.0,65,74,9,0.018339661865234374,75265.97229492187
1954,4078000.0,66,75,9,0.019760272216796874,80582.39010009765
1953,3965000.0,67,76,9,0.02103959716796875,83422.0027709961
1952,3913000.0,68,78,10,0.0241773876953125,94606.11805175782
1951,3772500.0,69,79,10,0.0257500830078125,97142.18814697266
1950,3632000.0,70,80,10,0.02726047119140625,99010.0313671875
1949,3477200.0,71,81,10,0.02877921875,100071.0994375
1948,3322400.0,72,83,11,0.03217575439453125,106900.72640039062
1947,3167600.0,73,84,11,0.033410732421875,105831.83601953124
1946,3012800.0,74,85,11,0.0348653271484375,105042.2576328125
1945,2858000.0,75,87,12,0.0364098974609375,104059.48694335937
1944,2798200.0,76,89,13,0.03619736328125,101287.46193359375
1943,2738400.0,77,92,15,0.03139165283203125,85962.90211523438
1942,2678600.0,78,90,12,0.035199677734375,94285.85677929687
1941,2618800.0,79,92,13,0.03139165283203125,82208.46043652343
1940,2559000.0,80,95,15,0.02220896484375,56832.74103515626
1939,2522600.0,81,95,14,0.02220896484375,56024.33471484375
1938,2486200.0,82,97,15,0.015352584228515626,38169.59490893555
1937,2449800.0,83,101,18,0.003,7349.400000000001
1936,2413400.0,84,103,20,0.0001,241.34
1935,2377000.0,85,101,16,0.003,7131.0
1934,2425200.0,86,103,17,0.0001,242.52
1933,2473400.0,87,102,15,0.001,2473.4
