Year,Birth,death_year,death_year_new,death_year_add,death_rate,deaths
2017,3855500.0,0,0,0,0.005574623413085938,21492.960569152834
2016,3945875.0,1,1,0,0.00037690670013427736,1487.2267253923417
2015,3978497.0,2,2,0,0.00023219562530517578,923.789598689766
2014,3988076.0,3,3,0,0.00017871410369873047,712.7254278224182
2013,3932181.0,4,4,0,0.00014412253379821779,566.7158890732098
2012,3952841.0,5,5,0,0.00013609033584594728,537.94345923563
2011,3953590.0,6,6,0,0.00012356203079223632,488.5136093198776
2010,3999386.0,7,7,0,0.00011359611511230469,454.3147124345398
2009,4131019.0,8,8,0,0.00010434925079345703,431.06873766353607
2008,4132851.5,9,9,0,9.669539451599121e-05,399.6277062685061
2007,4134684.0,10,10,0,9.429548263549805e-05,389.8820233252716
2006,4136516.5,11,11,0,0.00010314894676208496,426.677320238986
2005,4138349.0,12,13,1,0.00017950244903564453,742.8437804642105
2004,4112052.0,13,14,1,0.00024652015686035155,1013.7037040579223
2003,4089950.0,14,15,1,0.00032107166290283205,1313.167047689438
2002,4021726.0,15,16,1,0.00039761432647705076,1599.0958747652435
2001,4025933.0,16,17,1,0.00047916675567626955,1929.093254180031
2000,4058814.0,17,18,1,0.0005639835357666015,2289.104270738983
1999,3959417.0,18,19,1,0.0006502207946777344,2574.495268200531
1998,3941553.0,19,20,1,0.0007405033111572266,2918.7330476017
1997,3882000.0,20,22,2,0.0009059593963623046,3516.934376678467
1996,3899000.0,21,23,2,0.00096325927734375,3755.7479223632813
1995,3892000.0,22,24,2,0.0010056493377685546,3913.9872225952145
1994,3979000.0,23,25,2,0.001041941680908203,4145.88594833374
1993,4039000.0,24,27,3,0.0011203314208984374,4525.018609008789
1992,4084000.0,25,27,2,0.0011203314208984374,4575.433522949218
1991,4111000.0,26,29,3,0.0012237523651123046,5030.845972976684
1990,4179000.0,27,30,3,0.0012825051879882812,5359.589180603027
1989,4021000.0,28,31,3,0.0013416348266601563,5394.713638000489
1988,3913000.0,29,32,3,0.0014026873779296874,5488.715709838867
1987,3829000.0,30,33,3,0.0014636341857910157,5604.255297393799
1986,3731000.0,31,34,3,0.0015241035461425782,5686.4303306579595
1985,3760561.0,32,35,3,0.0015910446166992188,5983.220334819031
1984,3669141.0,33,36,3,0.0016619718933105468,6098.009214593353
1983,3638933.0,34,38,4,0.001787183074951172,6503.439468481293
1982,3680537.0,35,39,4,0.0018472628784179687,6798.919372743835
1981,3646397.5,36,40,4,0.0019180708312988282,6994.048684070969
1980,3612258.0,37,41,4,0.002007906036376953,7253.07464315094
1979,3494398.0,38,42,4,0.0021171873474121095,7398.295232422181
1978,3333279.0,39,44,5,0.002390795135498047,7969.187218457795
1977,3326632.0,40,45,5,0.002554122009277344,8496.62400796631
1976,3167788.0,41,46,5,0.0027353665161132814,8665.06122534546
1975,3144198.0,42,48,6,0.0031515670776367188,9909.150902371215
1974,3159958.0,43,49,6,0.0033990786743164064,10740.945849535523
1973,3136965.0,44,51,7,0.003962117309570312,12429.023326016235
1972,3258411.0,45,52,7,0.00431885498046875,14072.60457576416
1971,3555970.0,46,53,7,0.004732815551757813,16829.75011758423
1970,3731386.0,47,54,7,0.005176470947265625,19315.411222033694
1969,3600206.0,48,56,8,0.006040679321289062,21747.68993658081
1968,3501564.0,49,57,8,0.00648659423828125,22713.224867373046
1967,3520959.0,50,58,8,0.006967735595703125,24533.111355311277
1966,3606274.0,51,59,8,0.007484305419921875,26990.45604392334
1965,3760358.0,52,60,8,0.00803720703125,30222.77575761719
1964,4027490.0,53,61,8,0.008592920532226562,34607.90151433716
1963,4098020.0,54,62,8,0.009124291381835938,37391.52856859131
1962,4167362.0,55,63,8,0.009615889282226562,40072.89159095825
1961,4268326.0,56,64,8,0.010091869506835938,43075.38900463501
1960,4257850.0,57,65,8,0.010585130615234375,45069.89839007569
1959,4295000.0,58,66,8,0.01117866455078125,48012.364245605466
1958,4255000.0,59,68,9,0.012536484375,53342.741015625004
1957,4308000.0,60,69,9,0.013318096923828125,57374.361547851564
1956,4218000.0,61,69,8,0.013318096923828125,56175.73282470703
1955,4104000.0,62,71,9,0.0150596044921875,61804.6168359375
1954,4078000.0,63,72,9,0.015895521240234373,64821.93561767577
1953,3965000.0,64,73,9,0.0172741943359375,68492.18054199219
1952,3913000.0,65,75,10,0.019760272216796874,77321.94518432616
1951,3772500.0,66,76,10,0.02103959716796875,79371.8803161621
1950,3632000.0,67,77,10,0.02268210205078125,82381.3946484375
1949,3477200.0,68,78,10,0.0241773876953125,84069.61249414063
1948,3322400.0,69,80,11,0.02726047119140625,90570.18948632812
1947,3167600.0,70,81,11,0.02877921875,91161.0533125
1946,3012800.0,71,82,11,0.03055080078125,92043.45259375
1945,2858000.0,72,84,12,0.033410732421875,95487.87326171875
1944,2798200.0,73,86,13,0.035726005859375,99968.50959570313
1943,2738400.0,74,89,15,0.03619736328125,99122.859609375
1942,2678600.0,75,87,12,0.0364098974609375,97527.55133886718
1941,2618800.0,76,89,13,0.03619736328125,94793.65496093749
1940,2559000.0,77,92,15,0.03139165283203125,80331.23959716797
1939,2522600.0,78,92,14,0.03139165283203125,79188.58343408203
1938,2486200.0,79,94,15,0.02557544921875,63585.681847656255
1937,2449800.0,80,98,18,0.01217677734375,29830.669136718752
1936,2413400.0,81,101,20,0.003,7240.2
1935,2377000.0,82,98,16,0.01217677734375,28944.199746093753
1934,2425200.0,83,100,17,0.006,14551.2
1933,2473400.0,84,99,15,0.009337750854492188,23095.992963500976
1932,2521600.0,85,101,16,0.003,7564.8
1931,2569800.0,86,103,17,0.0001,256.98
1930,2618000.0,87,103,18,0.0001,261.8
